Year ,Geo,VisibleMinority,AgeGroup,Indicators,Statistics,Uom,Value
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,35.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,34.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,36.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,10.7
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,10
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,11.4
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,11.8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,11.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,12.5
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,4.8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.4
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,5.4
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,7.7
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,7.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,8.3
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,43.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,41.5
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,44.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,10.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,39.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,38.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,41.5
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,22.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,20.6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,23.7
2020,Canada,"Total, by visible minority group","Total, 15 years and over",Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,15.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,15.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,16.6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,5
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,5.6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,6.3
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,5.8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,6.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,1.6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,1.3
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,1.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,2.8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,2.4
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,3.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,24.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,23
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,26.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,4.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,3.9
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,6
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,38.2
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,36
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,40.3
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,8.1
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,6.8
2020,Canada,"Total, by visible minority group","Total, 15 years and over","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,9.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,49.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,45.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,52.9
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,13
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,10.7
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,15.8
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,15.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,12.8
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,18.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,7.4
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,5.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,9.6
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,7.3
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,5.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,9.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,32.1
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,27.2
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,37.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,7.9
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,5.4
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,11.5
2020,Canada,"Total, by visible minority group",15 to 24 years,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,37.7
